Date,Mileage,"Fill (1-yes,0-no,-1-purchase)","Octane(1-reg,2-+,3-prem)",Gallons,Dollars,Driver,"Snow Tires (0-no,1-yes)","Ethanol (0-no,1-yes)",Car Make,Car Model,Car Year,Engine Size (L),Engine Cyl,"Engine Config (1-I, 2-V)",Hybrid
12/21/95,87715,-1,0,-12.5,0,Mark,0,0,Mercury,Sable,1993,3,6,2,0
12/21/95,87736,0,1,12.3,13,Mark,0,0,Mercury,Sable,1993,3,6,2,0
1/4/96,87997,1,1,13,13.5,Mark,0,0,Mercury,Sable,1993,3,6,2,0
1/16/96,88248,1,1,13,14,Mark,0,0,Mercury,Sable,1993,3,6,2,0
1/25/96,88504,0,3,10,12,Mark,0,0,Mercury,Sable,1993,3,6,2,0
1/30/96,88667,0,1,4.5,5,Mark,0,0,Mercury,Sable,1993,3,6,2,0
1/31/96,88793,1,1,9.2,10,Mark,0,0,Mercury,Sable,1993,3,6,2,0
2/8/96,89058,0,3,6.7,8,Mark,0,0,Mercury,Sable,1993,3,6,2,0
2/9/96,89241,1,1,13,14.5,Mark,0,0,Mercury,Sable,1993,3,6,2,0
2/16/96,89468,0,1,8.9,9.5,Mark,0,0,Mercury,Sable,1993,3,6,2,0
2/23/96,89733,1,1,12.2,14.5,Mark,0,0,Mercury,Sable,1993,3,6,2,0
3/6/96,90071,1,1,15.2,16.25,Mark,0,0,Mercury,Sable,1993,3,6,2,0
3/15/96,90430,1,1,15.6,17,Mark,0,0,Mercury,Sable,1993,3,6,2,0
3/22/96,90773,1,1,14.5,16,Mark,0,0,Mercury,Sable,1993,3,6,2,0
3/29/96,91019,1,1,10.6,12,Mark,0,0,Mercury,Sable,1993,3,6,2,0
4/5/96,91262,1,1,10.3,12,Mark,0,0,Mercury,Sable,1993,3,6,2,0
4/12/96,91484,1,1,9.7,11.5,Mark,0,0,Mercury,Sable,1993,3,6,2,0
4/16/96,91627,0,1,4.1,5,Mark,0,0,Mercury,Sable,1993,3,6,2,0
4/19/96,91809,1,1,9.2,11.25,Mark,0,0,Mercury,Sable,1993,3,6,2,0
4/26/96,92092,1,1,12.1,14.9,Mark,0,0,Mercury,Sable,1993,3,6,2,0
5/10/96,92316,0,1,5.5,7,Mark,0,0,Mercury,Sable,1993,3,6,2,0
5/15/96,92565,0,1,4.1,5.25,Mark,0,0,Mercury,Sable,1993,3,6,2,0
5/21/96,92720,0,1,15.6,20,Mark,0,0,Mercury,Sable,1993,3,6,2,0
5/31/96,93047,1,3,14.7,20.6,Mark,0,0,Mercury,Sable,1993,3,6,2,0
6/7/96,93389,1,3,13.7,19.25,Mark,0,0,Mercury,Sable,1993,3,6,2,0
6/11/96,93578,0,1,6.6,8,Mark,0,0,Mercury,Sable,1993,3,6,2,0
6/17/96,93821,0,1,12,15,Mark,0,0,Mercury,Sable,1993,3,6,2,0
6/21/96,94067,0,1,8.2,10,Mark,0,0,Mercury,Sable,1993,3,6,2,0
6/21/96,94208,1,3,7.5,10.6,Mark,0,0,Mercury,Sable,1993,3,6,2,0
7/8/96,94610,0,1,11,15,Mark,0,0,Mercury,Sable,1993,3,6,2,0
7/8/96,94639,1,1,7,9,Mark,0,0,Mercury,Sable,1993,3,6,2,0
